RA,	DEC,	Classification
0.2627016873641, 1.268036685981, -1
0.5257331423771, 1.260030963939, 9
0.6082944744578, 1.271278326809, 3
1.013964460584, 1.267436386075, -4
1.044241142123, 1.268719868188, 0
1.18322060814, 1.260159560735, 3
1.20223737121, 1.260335539762, 5
1.401368024661, 1.273703143446, 5
1.568261024051, 1.271236305429, -2
1.738566851347, 1.265005322476, -2
1.756861252511, 1.261260883701, 3
1.787256806161, 1.270125427707, 1
1.974103346368, 1.266418823762, 2
100.0000880293, 0.7032321885749, 4
100.0004033061, 0.6109656514681, -2
100.0006859591, 1.044469173306, 4
100.0006965149, 0.5304686107609, 11
100.0013356217, 0.2361820005987, 4
100.0014257874, 0.09913580263102, -1
100.0022216295, 0.240920364218, 8
100.0030869327, 0.6720439833193, 5
100.003309014, 0.7016465264841, -1
100.003724486, 1.021516243142, -6
100.0078730389, 0.6592962199831, 0
100.0080231678, 0.6829712542532, 0
100.0083152948, 1.046532514346, 4
100.0088596877, 1.115496095791, 8
100.0094346621, 0.8081291144178, -1
100.0102292967, 0.9541464034897, -6
100.0113053985, 0.6949295078761, -6
100.0117955185, 1.083039818655, -3
100.0121200712, 0.2746135716412, 4
100.0121733905, 0.5869192414238, 0
100.0133792029, 1.065551281606, 1
100.0137842785, 0.6493940969424, 10
100.0153386232, 0.3419502209967, -1
100.0160908933, 0.003438138770214, 1
100.0167967177, 0.2960445989299, -1
100.0175202769, 0.5384128581407, -4
100.0175557187, 0.02298655264779, 5
100.0183032065, 0.9791811639161, -6
100.0185493076, 0.5269658495546, 9
100.0190182137, 1.022826958553, -6
100.0190715462, 1.13309272931, 2
100.0192656637, 0.1133792932298, 3
100.0198470353, 0.7118004017687, 1
100.0217799792, 1.137089806216, -2
100.0224976777, 0.8672926914818, 3
100.0227062811, 0.649686156895, 11
100.0227302697, 1.15543894793, 10
100.0236738235, 1.08540381693, 4
100.0238544745, 0.4291442501625, 3
100.0245294207, 0.9507970323118, 3
100.0250337431, 0.1076039533064, 5
100.0265859899, 0.6511611337562, -6
100.0269718032, 1.088298793445, -6
100.0277061128, 0.7192756527537, 0
100.0281306783, 0.7418899220166, 6
100.0289303616, 0.2005477797651, 2
100.0290850311, 0.2231391802372, 6
100.0292900712, 0.1675102888303, 4
100.0295784109, 0.7328473523427, 0
100.03036246, 1.092000882916, -6
100.0308015333, 0.0517135610883, -4
100.0311997295, 0.6588848982299, -3
100.0313472902, 1.149855463531, 11
100.0317358703, 0.2215816663698, -2
100.0320005692, 0.4443160080727, -2
100.0324002966, 0.3739683987353, 3
100.0326388138, 0.8713536931065, 4
100.0326772953, 0.1457202140669, -3
100.0339376963, 0.5376987255716, 3
100.0339694806, 0.9665207477969, -6
100.0340100177, 0.1539355593363, -3
100.0342495598, 0.1179662002066, 4
100.0344860156, 0.9522940220294, 9
100.0348329882, 0.5947662036106, 5
100.0354038113, 0.2763111420879, 6
100.0355119605, 1.12781808511, 11
100.0375726636, 0.5792299550264, -5
100.039052166, 0.2500206878726, 5
100.0391727709, 0.817228673636, 8
100.0394135544, 0.8369624126072, -2
100.0405266598, 0.2900792392881, 3
100.0412668008, 0.6824588413558, 1
100.0435692582, 0.5479208622794, 5
100.0439269171, 0.4387417514436, 2
100.0449658575, 0.5341350781824, 4
